policy_number,client_name,client_type,carrier_name,category,sub_category,issue_date,expiry_date,premium_amount,policy_status,distribution_channel,region,claim_amount,claim_status,commission_earned
POL-54322389,Upasna Koshy,Individual/B2C,HDFC ERGO,Health,Group Medi,2026-01-08,2026-03-11,20322.07,Cancelled,Agency,Delhi,0.0,No Claim,1686.73
POL-8295608,Upasna Koshy,Individual/B2C,HDFC ERGO,Motor,CV,2024-08-28,2025-07-06,20203.95,Renewed,Agency,Delhi,0.0,No Claim,2808.35
POL-72951761,Teerth Panchal,Individual/B2C,ICICI Lombard,Travel,Flight,2025-05-24,2026-01-14,8612.94,Renewed,Agency,Tamil Nadu,0.0,No Claim,732.1
POL-55728252,Teerth Panchal,Individual/B2C,ICICI Lombard,Motor,4W,2026-03-31,2027-03-23,18579.38,Active,Direct,Tamil Nadu,0.0,No Claim,1653.56
POL-51430233,Teerth Panchal,Individual/B2C,United India,Home,Damage,2026-02-14,2026-06-08,37521.08,Renewed,Online,Tamil Nadu,0.0,No Claim,6153.46
POL-97098227,Teerth Panchal,Individual/B2C,United India,Home,Theft,2026-02-17,2026-05-15,40456.15,Active,Broker,Tamil Nadu,0.0,No Claim,4814.28
POL-369774,"Shanker, Deshpande and Grewal",Corporate/B2B,Bajaj Allianz,Health,Individual,2026-01-02,2026-10-16,19516.09,Renewed,Agency,Delhi,0.0,No Claim,2322.41
POL-43455796,Nimrat Barad,Individual/B2C,United India,Health,Group Medi,2026-05-13,2026-09-30,32030.93,Expired,Broker,Maharashtra,0.0,No Claim,4067.93
POL-60314496,Lila Mishra,Individual/B2C,New India Assurance,Motor,CV,2025-10-31,2026-03-10,7620.53,Cancelled,Broker,West Bengal,0.0,No Claim,967.81
POL-30244656,Shetty Group,Corporate/B2B,TATA AIG,Motor,CV,2024-07-19,2025-03-31,44783.1,Active,Direct,Maharashtra,0.0,No Claim,5463.54
POL-78309666,Narasimhan LLC,Corporate/B2B,United India,Travel,Overseas,2025-03-30,2026-03-03,8862.1,Renewed,Online,Gujarat,0.0,No Claim,1382.49
POL-79933330,Lakshmi Sant,Individual/B2C,Bajaj Allianz,Travel,Overseas,2026-05-28,2027-01-23,37552.77,Cancelled,Agency,Tamil Nadu,24169.02,Settled,3830.38
POL-21585893,Lakshmi Sant,Individual/B2C,TATA AIG,Health,Group Medi,2026-02-19,2026-03-20,46050.34,Active,Agency,Tamil Nadu,0.0,No Claim,5940.49
POL-99536167,Lakshmi Sant,Individual/B2C,Bajaj Allianz,Travel,Flight,2024-12-28,2025-06-08,15755.36,Cancelled,Online,Tamil Nadu,24120.05,Rejected,1748.84
POL-92590752,Lakshmi Sant,Individual/B2C,ICICI Lombard,Home,Theft,2026-02-06,2026-05-30,5401.37,Cancelled,Agency,Tamil Nadu,0.0,No Claim,794.0
POL-45647790,Jeet Raval,Individual/B2C,ICICI Lombard,Health,Group Medi,2025-07-01,2026-06-13,26107.18,Cancelled,Online,Delhi,0.0,No Claim,4124.93
POL-82122493,Dalbir Dasgupta,Individual/B2C,HDFC ERGO,Home,Damage,2025-04-27,2026-04-24,9251.64,Active,Online,West Bengal,27219.88,Registered,1248.97
POL-67726856,Dalbir Dasgupta,Individual/B2C,New India Assurance,Motor,4W,2024-10-25,2025-08-08,45364.97,Active,Broker,West Bengal,14181.84,Registered,5080.88
POL-3183210,Chatterjee Ltd,Corporate/B2B,TATA AIG,Home,Theft,2025-11-05,2025-12-23,22743.6,Renewed,Broker,West Bengal,0.0,No Claim,3570.75
POL-32596828,Chatterjee Ltd,Corporate/B2B,TATA AIG,Travel,Overseas,2024-08-21,2025-03-26,44864.69,Active,Direct,West Bengal,9944.74,Registered,7043.76
POL-86926661,Chatterjee Ltd,Corporate/B2B,Bajaj Allianz,Home,Theft,2025-04-03,2026-01-09,44673.73,Expired,Direct,West Bengal,0.0,No Claim,6120.3
POL-82350470,Siya Cherian,Individual/B2C,United India,Home,Damage,2024-08-03,2024-09-04,18373.68,Active,Agency,Gujarat,0.0,No Claim,2498.82
POL-98103848,Siya Cherian,Individual/B2C,United India,Motor,2W,2026-05-04,2026-05-08,32946.16,Active,Online,Gujarat,6427.93,Settled,3887.65
POL-46061545,Shetty and Sons,Corporate/B2B,TATA AIG,Travel,Flight,2025-10-12,2026-01-13,23109.68,Renewed,Broker,Delhi,0.0,No Claim,2172.31
POL-4983596,Shetty and Sons,Corporate/B2B,Bajaj Allianz,Home,Theft,2024-12-01,2025-08-04,17301.68,Active,Agency,Delhi,5548.09,Settled,2058.9
POL-90219420,Shetty and Sons,Corporate/B2B,United India,Home,Theft,2025-05-07,2026-03-03,46695.92,Cancelled,Broker,Delhi,0.0,No Claim,4015.85
POL-51812008,Jagdish Ramachandran,Individual/B2C,HDFC ERGO,Motor,2W,2025-07-16,2026-06-16,43168.03,Active,Agency,Gujarat,0.0,No Claim,4144.13
POL-36869070,Dev Parsa,Individual/B2C,United India,Home,Theft,2024-10-08,2024-10-21,18484.92,Cancelled,Direct,Maharashtra,0.0,No Claim,1903.95
POL-85279614,Siddharth Gara,Individual/B2C,TATA AIG,Home,Theft,2025-04-12,2026-03-08,19472.97,Active,Direct,Tamil Nadu,1458.16,Registered,2005.72
POL-96428169,Siddharth Gara,Individual/B2C,HDFC ERGO,Motor,2W,2025-03-21,2025-03-30,41790.8,Expired,Broker,Tamil Nadu,0.0,No Claim,3719.38
POL-18388569,Siddharth Gara,Individual/B2C,New India Assurance,Motor,4W,2024-12-10,2025-01-11,33072.9,Expired,Direct,Tamil Nadu,0.0,No Claim,4266.4
POL-24626940,Siddharth Gara,Individual/B2C,ICICI Lombard,Health,Individual,2024-09-23,2025-01-08,16342.07,Active,Broker,Tamil Nadu,0.0,No Claim,2042.76
POL-51346561,Siddharth Gara,Individual/B2C,ICICI Lombard,Travel,Overseas,2025-03-17,2025-11-25,35191.26,Active,Broker,Tamil Nadu,0.0,No Claim,6123.28
POL-97597212,Chaudhari Inc,Corporate/B2B,United India,Motor,2W,2024-11-23,2025-08-20,7462.17,Cancelled,Broker,Maharashtra,15002.47,Settled,917.85
POL-78786764,Chaudhari Inc,Corporate/B2B,United India,Health,Individual,2026-04-07,2027-01-31,28254.63,Cancelled,Online,Maharashtra,0.0,No Claim,3390.56
POL-37539755,Chaudhari Inc,Corporate/B2B,HDFC ERGO,Home,Theft,2024-12-21,2025-01-28,12354.8,Cancelled,Online,Maharashtra,0.0,No Claim,1037.8
POL-73301893,Jagdish Sathe,Individual/B2C,HDFC ERGO,Health,Group Medi,2026-03-16,2026-05-27,35291.9,Cancelled,Online,Karnataka,0.0,No Claim,3987.98
POL-29466585,Jagdish Sathe,Individual/B2C,TATA AIG,Travel,Overseas,2026-01-08,2026-06-21,27902.72,Cancelled,Agency,Karnataka,0.0,No Claim,4994.59
POL-62321320,Vaishnavi Narain,Individual/B2C,United India,Home,Damage,2025-02-10,2025-04-02,18328.7,Cancelled,Broker,West Bengal,0.0,No Claim,1484.62
POL-27486776,Vaishnavi Narain,Individual/B2C,New India Assurance,Health,Group Medi,2024-09-01,2025-06-27,23132.32,Active,Agency,West Bengal,0.0,No Claim,3585.51
POL-16664675,"Dora, Deshmukh and Gill",Corporate/B2B,New India Assurance,Home,Damage,2026-03-15,2026-11-22,19313.92,Renewed,Online,Maharashtra,0.0,No Claim,3321.99
POL-13900567,"Dora, Deshmukh and Gill",Corporate/B2B,TATA AIG,Home,Damage,2026-01-27,2026-08-12,25416.66,Active,Agency,Maharashtra,0.0,No Claim,2821.25
POL-349969,"Dora, Deshmukh and Gill",Corporate/B2B,Bajaj Allianz,Travel,Flight,2025-04-30,2026-03-19,27677.47,Renewed,Online,Maharashtra,0.0,No Claim,2241.88
POL-5258675,"Deshmukh, Deshpande and Behl",Corporate/B2B,TATA AIG,Motor,4W,2025-01-23,2025-10-20,35923.57,Expired,Online,Tamil Nadu,0.0,No Claim,4921.53
POL-4436160,"Singh, Divan and Modi",Corporate/B2B,HDFC ERGO,Home,Theft,2025-11-27,2026-08-04,13687.6,Active,Broker,Uttar Pradesh,0.0,No Claim,1984.7
POL-68045500,"Singh, Divan and Modi",Corporate/B2B,Bajaj Allianz,Health,Individual,2024-11-19,2025-05-30,9674.74,Active,Online,Uttar Pradesh,0.0,No Claim,957.8
POL-89899294,"Bhakta, Randhawa and Bala",Corporate/B2B,Bajaj Allianz,Home,Theft,2025-06-16,2025-09-02,21267.85,Expired,Direct,Maharashtra,0.0,No Claim,3147.64
POL-58155286,Zansi Nayar,Individual/B2C,Bajaj Allianz,Home,Damage,2026-04-19,2026-06-04,48183.28,Renewed,Broker,Karnataka,0.0,No Claim,5492.89
POL-17968267,Adya Prabhakar,Individual/B2C,United India,Motor,CV,2024-07-14,2025-01-06,36489.16,Cancelled,Broker,Uttar Pradesh,0.0,No Claim,3904.34
POL-62907756,Sarna-Ravi,Corporate/B2B,ICICI Lombard,Motor,2W,2024-08-24,2025-07-03,14259.91,Cancelled,Online,Delhi,0.0,No Claim,2367.15
POL-96148779,Ray LLC,Corporate/B2B,HDFC ERGO,Motor,CV,2024-06-21,2024-11-22,47872.4,Renewed,Agency,Uttar Pradesh,0.0,No Claim,4547.88
POL-95470036,Ray LLC,Corporate/B2B,New India Assurance,Motor,CV,2026-04-01,2027-03-13,15863.42,Cancelled,Broker,Uttar Pradesh,0.0,No Claim,1380.12
POL-17783180,Sampath-Batta,Corporate/B2B,Bajaj Allianz,Health,Individual,2026-04-25,2026-08-16,10924.63,Expired,Online,Uttar Pradesh,3329.56,Under Review,1813.49
POL-47698226,Sampath-Batta,Corporate/B2B,HDFC ERGO,Motor,CV,2024-09-17,2025-04-03,6776.81,Renewed,Agency,Uttar Pradesh,0.0,No Claim,745.45
POL-15395169,Sampath-Batta,Corporate/B2B,ICICI Lombard,Travel,Overseas,2026-03-21,2026-08-23,9674.61,Cancelled,Agency,Uttar Pradesh,0.0,No Claim,1673.71
POL-91876174,Amara Suri,Individual/B2C,HDFC ERGO,Health,Group Medi,2025-09-07,2025-12-03,20523.54,Cancelled,Broker,West Bengal,0.0,No Claim,1723.98
POL-2151442,Amara Suri,Individual/B2C,TATA AIG,Home,Theft,2025-07-05,2026-06-19,34194.82,Renewed,Online,West Bengal,0.0,No Claim,4753.08
POL-81152994,Amara Suri,Individual/B2C,New India Assurance,Travel,Overseas,2025-10-15,2026-06-01,22142.88,Expired,Direct,West Bengal,0.0,No Claim,1882.14
POL-42901729,Yauvani Kala,Individual/B2C,HDFC ERGO,Health,Individual,2026-02-02,2027-01-05,7166.6,Cancelled,Agency,Uttar Pradesh,0.0,No Claim,594.83
POL-61299327,Yauvani Kala,Individual/B2C,TATA AIG,Home,Damage,2025-11-19,2026-08-14,19844.48,Renewed,Broker,Uttar Pradesh,0.0,No Claim,1726.47
POL-66969192,"Basu, Sibal and Bahl",Corporate/B2B,New India Assurance,Motor,CV,2025-02-07,2025-10-01,49391.3,Cancelled,Online,Karnataka,0.0,No Claim,8100.17
POL-38957002,"Mohanty, Kannan and Nagi",Corporate/B2B,HDFC ERGO,Motor,2W,2025-03-29,2025-06-14,43469.57,Active,Online,Tamil Nadu,0.0,No Claim,5085.94
POL-2850030,"Mohanty, Kannan and Nagi",Corporate/B2B,Bajaj Allianz,Health,Group Medi,2025-05-24,2026-04-17,30261.68,Renewed,Online,Tamil Nadu,0.0,No Claim,4932.65
POL-12824257,"Mohanty, Kannan and Nagi",Corporate/B2B,HDFC ERGO,Health,Individual,2026-06-13,2027-02-07,28232.48,Active,Online,Tamil Nadu,26517.33,Settled,3613.76
POL-41673264,Isha Barman,Individual/B2C,ICICI Lombard,Motor,CV,2025-09-14,2025-11-13,35286.93,Active,Agency,Gujarat,0.0,No Claim,4163.86
POL-76952514,Banjeet Kamdar,Individual/B2C,New India Assurance,Home,Damage,2024-11-11,2025-08-31,23448.36,Expired,Agency,Gujarat,0.0,No Claim,2907.6
POL-23643965,Chasmum Toor,Individual/B2C,TATA AIG,Travel,Flight,2024-10-09,2025-02-06,13763.7,Active,Broker,Tamil Nadu,0.0,No Claim,2408.65
POL-81116207,Chasmum Toor,Individual/B2C,ICICI Lombard,Home,Theft,2026-03-14,2026-09-19,25315.56,Expired,Online,Tamil Nadu,0.0,No Claim,3113.81
POL-82794555,Chasmum Toor,Individual/B2C,TATA AIG,Travel,Overseas,2024-09-25,2024-11-12,14612.95,Active,Agency,Tamil Nadu,0.0,No Claim,1592.81
POL-94550259,Dalal-Narang,Corporate/B2B,HDFC ERGO,Travel,Overseas,2025-09-26,2026-04-20,32472.21,Cancelled,Broker,Gujarat,33230.46,Settled,5292.97
POL-22117152,Amaira Wable,Individual/B2C,TATA AIG,Travel,Overseas,2026-01-05,2026-10-05,20551.56,Expired,Broker,Tamil Nadu,0.0,No Claim,3678.73
POL-89860029,Amaira Wable,Individual/B2C,Bajaj Allianz,Travel,Overseas,2025-12-11,2026-04-10,20344.52,Active,Online,Tamil Nadu,0.0,No Claim,2787.2
POL-7100535,Patla LLC,Corporate/B2B,Bajaj Allianz,Travel,Flight,2024-09-23,2025-06-22,9839.31,Cancelled,Broker,Tamil Nadu,0.0,No Claim,1416.86
POL-61660030,Patla LLC,Corporate/B2B,TATA AIG,Home,Theft,2025-12-03,2026-03-05,31447.99,Renewed,Agency,Tamil Nadu,0.0,No Claim,5188.92
POL-13790339,Ayushman Kanda,Individual/B2C,Bajaj Allianz,Travel,Overseas,2024-10-06,2025-05-01,19569.69,Expired,Direct,Tamil Nadu,0.0,No Claim,3229.0
POL-43665892,Joshua Bahl,Individual/B2C,HDFC ERGO,Home,Damage,2025-07-29,2026-07-12,26385.31,Active,Direct,Gujarat,0.0,No Claim,2189.98
POL-95829580,"Atwal, Parekh and Srinivas",Corporate/B2B,HDFC ERGO,Travel,Overseas,2025-01-18,2025-11-29,31470.71,Expired,Broker,Uttar Pradesh,0.0,No Claim,4500.31
POL-94992733,"Atwal, Parekh and Srinivas",Corporate/B2B,New India Assurance,Health,Individual,2025-11-25,2026-05-20,10504.2,Renewed,Broker,Uttar Pradesh,0.0,No Claim,913.87
POL-95511563,"Atwal, Parekh and Srinivas",Corporate/B2B,United India,Home,Damage,2026-03-29,2026-06-12,39913.8,Cancelled,Online,Uttar Pradesh,0.0,No Claim,6785.35
POL-92610633,"Atwal, Parekh and Srinivas",Corporate/B2B,United India,Home,Damage,2025-07-14,2026-03-09,9119.43,Renewed,Direct,Uttar Pradesh,7336.11,Approved,1222.0
POL-1576360,"Dara, Manda and Zachariah",Corporate/B2B,HDFC ERGO,Home,Theft,2025-07-25,2025-10-24,33343.15,Cancelled,Broker,Maharashtra,0.0,No Claim,4401.3
POL-27835750,"Dara, Manda and Zachariah",Corporate/B2B,ICICI Lombard,Travel,Overseas,2025-05-05,2025-06-20,38858.9,Active,Direct,Maharashtra,0.0,No Claim,4896.22
POL-49306687,Zinal Sunder,Individual/B2C,TATA AIG,Motor,4W,2025-12-12,2026-06-09,20872.4,Expired,Direct,Gujarat,6297.6,Settled,2379.45
POL-92095395,Zinal Sunder,Individual/B2C,ICICI Lombard,Travel,Flight,2024-08-17,2025-01-12,6769.61,Active,Online,Gujarat,0.0,No Claim,819.12
POL-69699871,Dhruv Naidu,Individual/B2C,ICICI Lombard,Health,Group Medi,2025-09-17,2025-12-28,33595.92,Cancelled,Direct,Gujarat,1732.64,Rejected,3191.61
POL-12844872,Dhruv Naidu,Individual/B2C,TATA AIG,Motor,2W,2024-08-05,2025-04-03,32179.16,Active,Broker,Gujarat,0.0,No Claim,4344.19
POL-84427996,Chakrabarti and Sons,Corporate/B2B,New India Assurance,Travel,Flight,2025-09-06,2026-07-25,36184.31,Renewed,Broker,Delhi,0.0,No Claim,4378.3
POL-74889874,Chakrabarti and Sons,Corporate/B2B,Bajaj Allianz,Motor,CV,2024-07-13,2025-05-16,15056.89,Renewed,Broker,Delhi,27341.17,Settled,2243.48
POL-15418148,Chacko Ltd,Corporate/B2B,ICICI Lombard,Health,Individual,2024-08-26,2025-06-18,6231.25,Renewed,Online,Delhi,0.0,No Claim,542.12
POL-42868492,Chacko Ltd,Corporate/B2B,Bajaj Allianz,Travel,Overseas,2025-01-22,2025-06-13,46356.48,Active,Agency,Delhi,0.0,No Claim,5377.35
POL-51723961,Chacko Ltd,Corporate/B2B,HDFC ERGO,Home,Theft,2025-03-05,2025-09-06,18757.61,Expired,Direct,Delhi,0.0,No Claim,1800.73
POL-15390246,Chacko Ltd,Corporate/B2B,United India,Travel,Overseas,2025-11-03,2025-12-11,15746.7,Renewed,Agency,Delhi,0.0,No Claim,2472.23
POL-93570724,Udant Sabharwal,Individual/B2C,United India,Health,Individual,2025-07-17,2026-04-22,43582.3,Active,Online,Maharashtra,0.0,No Claim,7060.33
POL-82028753,Udant Sabharwal,Individual/B2C,New India Assurance,Health,Individual,2026-06-01,2026-07-06,6090.16,Renewed,Online,Maharashtra,0.0,No Claim,816.08
POL-12315319,Girish Sule,Individual/B2C,United India,Health,Individual,2025-07-07,2026-01-31,14650.06,Active,Agency,Gujarat,0.0,No Claim,2358.66
POL-96738946,Girish Sule,Individual/B2C,ICICI Lombard,Health,Individual,2026-03-09,2026-04-17,8554.99,Expired,Online,Gujarat,0.0,No Claim,1086.48
POL-97252257,Yamini Choudhury,Individual/B2C,HDFC ERGO,Travel,Overseas,2025-10-28,2026-06-24,48072.88,Active,Direct,Delhi,7694.07,Under Review,5816.82
POL-51281332,Yamini Choudhury,Individual/B2C,HDFC ERGO,Travel,Overseas,2025-11-17,2025-11-28,34661.06,Active,Agency,Delhi,0.0,No Claim,4575.26
POL-58164828,Yamini Choudhury,Individual/B2C,New India Assurance,Health,Group Medi,2026-03-15,2026-10-25,13642.7,Active,Online,Delhi,0.0,No Claim,1323.34
POL-42882255,Yamini Choudhury,Individual/B2C,HDFC ERGO,Motor,CV,2026-04-10,2026-08-27,28558.42,Renewed,Direct,Delhi,0.0,No Claim,4112.41
POL-83843983,Hemal Sachdev,Individual/B2C,TATA AIG,Motor,CV,2025-08-08,2026-01-14,37971.43,Renewed,Agency,Karnataka,0.0,No Claim,4214.83
POL-82046343,Hemal Sachdev,Individual/B2C,HDFC ERGO,Motor,4W,2026-02-20,2027-02-16,46825.16,Cancelled,Online,Karnataka,0.0,No Claim,8288.05
POL-99481759,Hemal Sachdev,Individual/B2C,New India Assurance,Home,Theft,2024-08-03,2025-07-26,42769.14,Active,Broker,Karnataka,0.0,No Claim,7270.75
POL-29656193,"Ramanathan, Golla and Naik",Corporate/B2B,ICICI Lombard,Travel,Overseas,2024-12-22,2025-11-11,17375.06,Cancelled,Broker,Karnataka,0.0,No Claim,2866.88
POL-81431311,Anmol Dada,Individual/B2C,TATA AIG,Travel,Overseas,2025-07-23,2025-09-07,37132.47,Expired,Agency,West Bengal,0.0,No Claim,6386.78
POL-53983557,Bina Cherian,Individual/B2C,Bajaj Allianz,Health,Individual,2026-03-17,2026-11-16,42409.91,Cancelled,Agency,Delhi,0.0,No Claim,4156.17
POL-38656050,Bina Cherian,Individual/B2C,New India Assurance,Travel,Flight,2025-05-23,2025-10-21,13312.02,Renewed,Agency,Delhi,14996.68,Approved,1344.51
POL-90051883,Bina Cherian,Individual/B2C,Bajaj Allianz,Motor,4W,2025-10-01,2025-11-12,24866.4,Expired,Agency,Delhi,11886.24,Approved,2237.98
POL-69654956,Dugal-Chacko,Corporate/B2B,TATA AIG,Health,Individual,2025-04-05,2025-07-15,10891.54,Renewed,Agency,West Bengal,0.0,No Claim,1121.83
POL-5554103,Saxena-Dhawan,Corporate/B2B,HDFC ERGO,Travel,Overseas,2025-01-28,2025-03-07,45286.68,Active,Direct,Gujarat,0.0,No Claim,5524.97
POL-86611443,"Nagi, Rattan and Kaul",Corporate/B2B,United India,Travel,Flight,2024-08-07,2025-03-01,12431.27,Renewed,Agency,Karnataka,0.0,No Claim,1106.38
POL-83016066,"Nagi, Rattan and Kaul",Corporate/B2B,HDFC ERGO,Motor,2W,2025-10-12,2025-12-03,12804.98,Expired,Direct,Karnataka,0.0,No Claim,1370.13
POL-40424336,Fitan Garg,Individual/B2C,HDFC ERGO,Home,Damage,2026-06-13,2027-01-30,43263.3,Cancelled,Direct,Uttar Pradesh,0.0,No Claim,5105.07
POL-40717901,Fitan Garg,Individual/B2C,New India Assurance,Motor,4W,2025-10-10,2026-07-09,10752.95,Expired,Online,Uttar Pradesh,0.0,No Claim,1612.94
POL-40157940,Fitan Garg,Individual/B2C,HDFC ERGO,Travel,Flight,2025-01-24,2025-02-28,29835.05,Expired,Direct,Uttar Pradesh,0.0,No Claim,4475.26
POL-79051048,Fitan Garg,Individual/B2C,ICICI Lombard,Motor,2W,2026-05-12,2027-05-11,9407.66,Renewed,Direct,Uttar Pradesh,0.0,No Claim,893.73
POL-23314723,Robert Bali,Individual/B2C,HDFC ERGO,Health,Group Medi,2025-01-10,2025-10-26,22065.35,Cancelled,Online,Delhi,36461.52,Registered,1919.69
POL-30984476,Robert Bali,Individual/B2C,ICICI Lombard,Home,Damage,2025-02-18,2025-08-06,35755.24,Renewed,Online,Delhi,0.0,No Claim,5041.49
POL-66660989,Robert Bali,Individual/B2C,ICICI Lombard,Motor,4W,2025-01-22,2025-10-30,13525.59,Renewed,Broker,Delhi,0.0,No Claim,2150.57
POL-49532074,Tak-Divan,Corporate/B2B,Bajaj Allianz,Travel,Flight,2025-02-22,2025-10-13,46689.54,Active,Agency,Karnataka,0.0,No Claim,6629.91
POL-9921028,Tak-Divan,Corporate/B2B,Bajaj Allianz,Motor,2W,2024-09-05,2024-09-08,10248.97,Active,Broker,Karnataka,0.0,No Claim,1475.85
POL-50099308,Tak-Divan,Corporate/B2B,TATA AIG,Travel,Flight,2025-04-21,2025-08-22,29075.52,Expired,Direct,Karnataka,0.0,No Claim,3925.2
POL-47686342,Kar-Tata,Corporate/B2B,HDFC ERGO,Motor,4W,2026-01-15,2026-06-22,20506.86,Active,Agency,Delhi,0.0,No Claim,2050.69
POL-14016732,Om Mitter,Individual/B2C,Bajaj Allianz,Home,Damage,2025-01-25,2025-11-14,37048.68,Renewed,Agency,Uttar Pradesh,0.0,No Claim,5186.82
POL-80519559,Rudra Lanka,Individual/B2C,Bajaj Allianz,Home,Damage,2025-07-24,2026-06-03,29803.04,Renewed,Online,Gujarat,16947.67,Registered,2503.46
POL-26184490,Yash Date,Individual/B2C,United India,Health,Individual,2026-03-31,2027-01-01,45353.57,Active,Online,Maharashtra,0.0,No Claim,6213.44
POL-50054959,Yash Date,Individual/B2C,TATA AIG,Home,Theft,2024-11-30,2025-08-29,11655.78,Active,Agency,Maharashtra,0.0,No Claim,1422.01
POL-40014633,Yash Date,Individual/B2C,United India,Motor,4W,2024-08-20,2024-09-09,36435.08,Expired,Agency,Maharashtra,8529.64,Settled,4517.95
POL-74269878,Vasana Pandit,Individual/B2C,HDFC ERGO,Motor,4W,2025-05-06,2025-09-28,24239.44,Cancelled,Broker,Gujarat,0.0,No Claim,3829.83
POL-52325379,"Bajwa, Sethi and Mann",Corporate/B2B,New India Assurance,Motor,2W,2026-06-06,2026-07-25,44974.37,Cancelled,Online,Delhi,0.0,No Claim,4767.28
POL-48520997,"Bajwa, Sethi and Mann",Corporate/B2B,TATA AIG,Home,Theft,2024-09-27,2025-04-03,21696.91,Active,Broker,Delhi,31901.85,Rejected,3319.63
POL-44495134,"Bajwa, Sethi and Mann",Corporate/B2B,ICICI Lombard,Travel,Flight,2025-08-27,2026-04-26,11702.87,Renewed,Agency,Delhi,0.0,No Claim,1638.4
POL-16426832,Bava Inc,Corporate/B2B,TATA AIG,Health,Individual,2024-07-05,2025-01-23,7593.57,Expired,Agency,West Bengal,0.0,No Claim,1055.51
POL-68824472,Bava Inc,Corporate/B2B,TATA AIG,Health,Group Medi,2025-02-20,2025-04-23,25973.47,Active,Broker,West Bengal,0.0,No Claim,2181.77
POL-21365109,Dalbir Halder,Individual/B2C,Bajaj Allianz,Motor,CV,2024-09-16,2025-08-25,19998.28,Renewed,Agency,Tamil Nadu,0.0,No Claim,2939.75
POL-21343601,Dalbir Halder,Individual/B2C,New India Assurance,Health,Group Medi,2025-10-30,2026-10-19,9774.92,Cancelled,Online,Tamil Nadu,6081.69,Under Review,1505.34
POL-45910822,Bhardwaj-Prabhu,Corporate/B2B,Bajaj Allianz,Home,Damage,2024-10-22,2024-10-31,8533.51,Expired,Broker,Gujarat,0.0,No Claim,1373.9
POL-32756345,Bhardwaj-Prabhu,Corporate/B2B,HDFC ERGO,Travel,Overseas,2024-12-19,2025-11-14,18288.6,Active,Agency,Gujarat,0.0,No Claim,1792.28
POL-79335181,Sahota-Pingle,Corporate/B2B,HDFC ERGO,Travel,Overseas,2024-12-26,2025-08-11,39898.08,Active,Direct,Uttar Pradesh,21163.45,Registered,5665.53
POL-90617435,Sahota-Pingle,Corporate/B2B,HDFC ERGO,Health,Individual,2024-11-05,2025-08-26,7102.12,Cancelled,Broker,Uttar Pradesh,0.0,No Claim,681.8
POL-96193630,Sahota-Pingle,Corporate/B2B,United India,Home,Theft,2025-03-27,2025-12-19,42166.22,Cancelled,Broker,Uttar Pradesh,0.0,No Claim,6324.93
POL-89861741,Sahota-Pingle,Corporate/B2B,United India,Travel,Overseas,2026-02-04,2026-05-24,27758.05,Active,Direct,Uttar Pradesh,0.0,No Claim,4024.92
POL-8481073,Joshua Modi,Individual/B2C,HDFC ERGO,Motor,2W,2025-04-30,2026-04-15,30415.76,Active,Direct,Gujarat,25934.64,Registered,4440.7
POL-34693188,Joshua Modi,Individual/B2C,Bajaj Allianz,Travel,Flight,2025-05-09,2026-04-03,30341.93,Active,Online,Gujarat,0.0,No Claim,3337.61
POL-40731642,"Bhatia, Mangal and Varughese",Corporate/B2B,TATA AIG,Health,Group Medi,2025-04-01,2026-03-11,35576.98,Renewed,Online,Delhi,0.0,No Claim,4589.43
POL-3914766,"Bhatia, Mangal and Varughese",Corporate/B2B,New India Assurance,Travel,Flight,2024-09-30,2025-08-07,26060.47,Active,Online,Delhi,0.0,No Claim,3335.74
POL-55886365,Rachana Batta,Individual/B2C,New India Assurance,Health,Individual,2025-10-21,2026-02-19,43864.51,Cancelled,Agency,Gujarat,0.0,No Claim,3816.21
POL-98784408,Rachana Batta,Individual/B2C,HDFC ERGO,Travel,Flight,2025-12-16,2026-06-21,46727.48,Expired,Agency,Gujarat,13029.87,Rejected,4626.02
POL-48595618,Rachana Batta,Individual/B2C,ICICI Lombard,Travel,Flight,2024-11-28,2025-10-03,26624.53,Active,Online,Gujarat,0.0,No Claim,4313.17
POL-79894407,Bhardwaj Ltd,Corporate/B2B,United India,Travel,Overseas,2025-07-10,2026-04-13,34145.76,Active,Direct,Tamil Nadu,0.0,No Claim,5702.34
POL-85514641,Bhardwaj Ltd,Corporate/B2B,New India Assurance,Travel,Overseas,2025-08-15,2026-07-22,31994.84,Renewed,Broker,Tamil Nadu,0.0,No Claim,5695.08
POL-28338887,"Chana, Manda and Kakar",Corporate/B2B,New India Assurance,Motor,CV,2025-09-01,2026-03-03,31621.44,Renewed,Agency,Tamil Nadu,0.0,No Claim,4616.73
POL-46451936,Bali-Sarkar,Corporate/B2B,HDFC ERGO,Health,Group Medi,2024-12-14,2025-02-22,41782.59,Cancelled,Online,Delhi,0.0,No Claim,6183.82
POL-12234045,Hemani Naik,Individual/B2C,ICICI Lombard,Home,Damage,2025-05-11,2025-11-29,32914.36,Renewed,Direct,Maharashtra,0.0,No Claim,2896.46
POL-28085243,Ranveer Khalsa,Individual/B2C,Bajaj Allianz,Home,Theft,2025-12-04,2026-08-10,28681.51,Cancelled,Online,Karnataka,24995.08,Registered,2552.65
POL-71965753,Ranveer Khalsa,Individual/B2C,ICICI Lombard,Travel,Overseas,2025-02-14,2025-05-27,47252.53,Active,Agency,Karnataka,0.0,No Claim,8410.95
